name,publication,star,numbers
"

    Ubuntu


    

  ","
        
  
  Aloysius, Stefanu Elias

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Figueras, Albert

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Andrew Hudson

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu官方指南


    

  ","
        
  
  (美)Benjamin Mako Hill;Jono Bacon;Corey Burger;Jonathan Jesse;Ivan Krstic / 宋吉广 / 人民邮电出版社 / 2007年5月 / 39.00元

      ",7.0,"
        (124人评价)
    "
"

    Ubuntu Server最佳方案


    

  ","
        
  
  冷罡华 / 电子工业出版社 / 2009-6 / 55.00元

      ",8.0,"
        (73人评价)
    "
"

    Ubuntu Linux入门到精通


    

  ","
        
  
  李蔚泽 / 机械工业出版社 / 2007-5 / 42.00元

      ",6.2,"
        (50人评价)
    "
"

    Ubuntu Linux指南


    
       : 基础篇 
 : 基础篇 ","
        
  
  Mark G. Sobell / 杨明军 / 人民邮电出版社 / 2009 / 59.00元

      ",7.5,"
        (48人评价)
    "
"

    Ubuntu Hacks


    
       : Tips & Tools for Exploring, Using, and Tuning Linux 
 : Tips & Tools for Exploring, Using, and Tuning Linux ","
        
  
  Jonathan Oxer、Kyle Rankin、Bill Childers / O'Reilly Media / 2006-6-24 / USD 29.99

      ",7.4,"
        (20人评价)
    "
"

    完美应用Ubuntu


    
       : LAMP技术大系 
 : LAMP技术大系 ","
        
  
  Ubuntu China / 电子工业出版社 / 2008-9 / 55.00元

      ",7.2,"
        (46人评价)
    "
"

    Ubuntu标准教程


    

  ","
        
  
  王大亮//曾广平//张德政 / 人民邮电 / 2008-5 / 49.00元

      ",6.9,"
        (40人评价)
    "
"

    Ubuntu Linux指南


    
       : 管理篇 
 : 管理篇 ","
        
  
  Mark G. Sobell / 杨明军 / 人民邮电出版社 / 2009 / 59.00元

      ",7.1,"
        (19人评价)
    "
"

    完美应用Ubuntu


    

  ","
        
  
  2010-10 / 60.00元

      ",7.1,"
        (38人评价)
    "
"

    深入解析Ubuntu操作系统


    

  ","
        
  
  赫达逊 / 清华大学出版社 / 2008-6 / 98.00元

      ",7.3,"
        (24人评价)
    "
"

    Ubuntu权威指南


    

  ","
        
  
  2010-1 / 69.00元

      ",7.3,"
        (24人评价)
    "
"

    Ubuntu Linux从入门到精通


    

  ","
        
  
  郝玲、李晓 / 科学出版社 / 2009-1 / 59.00元

      ",6.6,"
        (22人评价)
    "
"

    Ubuntu Pocket Guide and Reference


    
       : A Concise Companion for Day-To-Day Ubuntu Use 
 : A Concise Companion for Day-To-Day Ubuntu Use ","
        
  
  Keir Thomas / MacFreda Publishing / 2009-01-19 / USD 12.99

      ",6.6,"
        (19人评价)
    "
"

    Ubuntu Linux Toolbox: 1000+ Commands for Ubuntu and Debian Power Users


    

  ","
        
  
  Christopher Negus / John Wiley & Sons / 2007-10 / 180.00元

      ",0,"
        (少于10人评价)
    "
"

    The Official Ubuntu Book


    

  ","
        
  
  Benjamin Mako Hill、Jono Bacon、Corey Burger、Jonathan Jesse、Ivan Krstic / Prentice Hall / 2006-08-21 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Kung Fu


    
       : Tips, Tricks, Hints, and Hacks 
 : Tips, Tricks, Hints, and Hacks ","
        
  
  Keir Thomas / Pragmatic Bookshelf / September 28, 2008 / $23.07

      ",7.2,"
        (12人评价)
    "
"

    Beginning Ubuntu Linux


    
       : From Novice to Professional 
 : From Novice to Professional ","
        
  
  Keir Thomas / Apress / 2006-03-15 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    A Practical Guide to Ubuntu Linux(R)


    

  ","
        
  
  Mark G. Sobell / Prentice Hall PTR / 2007-12-28 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux全方位学习


    

  ","
        
  
  李蔚泽 / 2008-10 / 58.00元

      ",7.1,"
        (12人评价)
    "
"

    Ubuntu Linux Bible


    

  ","
        
  
  William von Hagen / Wiley / 2007-01-03 / 361.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux从初学到精通


    

  ","
        
  
  潘光洋 / 电子工业出版社 / 2011-4 / 59.00元

      ",7.0,"
        (13人评价)
    "
"

    Beginning Ubuntu Linux


    

  ","
        
  
  Keir Thomas / Apress / March 30, 2007 / $39.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux 从入门到精通


    

  ","
        
  
  邢国庆    仇鹏涛    陈极珺 / 电子工业出版社 / 2010-7 / 64.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu完全手册


    

  ","
        
  
  佩德森 / 龙继文 / 2009-9 / 59.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu实战技巧精粹


    

  ","
        
  
  何晓龙 / 2009-5 / 45.00元

      ",6.7,"
        (10人评价)
    "
"

    Ubuntu自由學電腦 (新版 EZGO7)


    

  ","
        
  
  葉志偉 / 大青蛙資訊出版社 / 2008-3

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed (Unleashed)


    

  ","
        
  
  Andrew Hudson、Paul Hudson / Sams / 2006-06-30 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Server 最佳方案（第2版）


    

  ","
        
  
  冷罡华（Hiweed） / 电子工业出版社 / 2014-9 / 65.00元

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Linux, Fourth Edition


    

  ","
        
  
  Keir Thomas、Jaime Sicam、Andy Channelle / Apress / 2009-08-27 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Official Ubuntu Server Book, The (2nd Edition)


    

  ","
        
  
  Kyle Rankin、Benjamin Mako Hill / Prentice Hall / 2010-08-18 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Linux Ubuntu系统管理、桌面办公应用及服务器配置从入门到精通


    

  ","
        
  
  2011-8 / 59.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux for Non-Geeks


    
       : A Pain-Free, Project-Based, Get-Things-Done Guidebook 
 : A Pain-Free, Project-Based, Get-Things-Done Guidebook ","
        
  
  Rickford Grant / No Starch Press / 2006-08-20 / USD 34.95

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux完全自学教程


    

  ","
        
  
  力行工作室 / 2009-6 / 48.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux从入门到精通


    

  ","
        
  
  丰士昌 / 中国铁道出版社 / 2010-9 / 59.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux轻松入门


    

  ","
        
  
  朱维刚、等 / 化学工业出版社 / 2010-7-1 / 45.00元

      ",0,"
        (少于10人评价)
    "
"

    次世代Linux－Ubuntu玩全手冊


    

  ","
",0,"
        (目前无人评价)
    "
"

    Ubuntu


    
       : Up and Running: A Power User's Desktop Guide 
 : Up and Running: A Power User's Desktop Guide ","
        
  
  Robin Nixon / O'Reilly Media / 2010-4-27 / USD 44.99

      ",0,"
        (少于10人评价)
    "
"

    Hacking Ubuntu


    
       : Serious Hacks Mods and Customizations (ExtremeTech) 
 : Serious Hacks Mods and Customizations (ExtremeTech) ","
        
  
  Neal Krawetz / John Wiley & Sons / 2007 / USD 29.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu


    
       : The Complete Reference 
 : The Complete Reference ","
        
  
  Petersen, Richard / 2008-9 / $ 56.49

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Linux, Third Edition (Beginning from Novice to Professional)


    

  ","
        
  
  Keir Thomas、Jaime Sicam / Apress / 2008-06-24 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Server Administration


    
       : From Novice to Professional (Expert's Voice) 
 : From Novice to Professional (Expert's Voice) ","
        
  
  Sander van Vugt / Apress / 2007-12-14 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Made Easy


    
       : A Project-Based Introduction to Linux 
 : A Project-Based Introduction to Linux ","
        
  
  Rickford Grant、Phil Bull / No Starch Press / 2012-8-2 / USD 34.95

      ",0,"
        (少于10人评价)
    "
